Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Suite_LogIn_RigisterUserAndForgotPwd_Module,Chrome 86.0.4240.75,,,2021-01-29 15:54:48,2021-01-29 15:58:28,3m - 40.559s,PASSED
,,,,,,,
Test Cases/TC_Login_RigisterUserAndForgotYourPassword/TC_ForgotPwdInValidEmailValidation,Chrome 86.0.4240.75,,,2021-01-29 15:54:50,2021-01-29 15:55:18,28.301s,PASSED
"excelTestData = findTestData(""Data Files/TestData/InspectTestData"")",Chrome 86.0.4240.75,,,2021-01-29 15:54:50,2021-01-29 15:54:51,0.731s,PASSED
"validationMessage = excelTestData.getValue(2, 12)",Chrome 86.0.4240.75,,,2021-01-29 15:54:51,2021-01-29 15:54:51,0.037s,PASSED
"obj = findTestObject(""LoginAndRigisterUser/LoginLink"")",Chrome 86.0.4240.75,,,2021-01-29 15:54:51,2021-01-29 15:54:51,0.067s,PASSED
"forgotPwd = findTestObject(""Object Repository/LoginAndRigisterUser/ForgotPwd"")",Chrome 86.0.4240.75,,,2021-01-29 15:54:51,2021-01-29 15:54:51,0.052s,PASSED
"ForgotPwdSubmitBtn = findTestObject(""Object Repository/LoginAndRigisterUser/ForgotPwdSubmitBtn"")",Chrome 86.0.4240.75,,,2021-01-29 15:54:51,2021-01-29 15:54:51,0.048s,PASSED
customKeywords.commanFunctions.openBrowser(),Chrome 86.0.4240.75,,,2021-01-29 15:54:51,2021-01-29 15:55:11,19.720s,PASSED
"waitForElementClickable(findTestObject(""LoginAndRigisterUser/LoginLink""), TimeOut)",Chrome 86.0.4240.75,,,2021-01-29 15:55:11,2021-01-29 15:55:11,0.522s,PASSED
customKeywords.commanFunctions.clickElementWithJS(obj),Chrome 86.0.4240.75,,,2021-01-29 15:55:11,2021-01-29 15:55:12,0.880s,PASSED
"waitForElementClickable(findTestObject(""Object Repository/LoginAndRigisterUser/ForgotPwd""), TimeOut)",Chrome 86.0.4240.75,,,2021-01-29 15:55:12,2021-01-29 15:55:13,0.508s,PASSED
customKeywords.commanFunctions.clickElementWithJS(forgotPwd),Chrome 86.0.4240.75,,,2021-01-29 15:55:13,2021-01-29 15:55:14,0.843s,PASSED
str = customKeywords.commanFunctions.getRandomAlphaString(5),Chrome 86.0.4240.75,,,2021-01-29 15:55:14,2021-01-29 15:55:14,0.563s,PASSED
"email = ""test_"" + str + ""@email.com""",Chrome 86.0.4240.75,,,2021-01-29 15:55:14,2021-01-29 15:55:14,0.001s,PASSED
"sendKeys(findTestObject(""Object Repository/LoginAndRigisterUser/ForgotPwd_Email_Input""), email)",Chrome 86.0.4240.75,,,2021-01-29 15:55:14,2021-01-29 15:55:15,0.746s,PASSED
customKeywords.commanFunctions.clickElementWithJS(ForgotPwdSubmitBtn),Chrome 86.0.4240.75,,,2021-01-29 15:55:15,2021-01-29 15:55:16,0.931s,PASSED
"verifyTextPresent(validationMessage, false)",Chrome 86.0.4240.75,,,2021-01-29 15:55:16,2021-01-29 15:55:17,1.001s,PASSED
