Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Public_User_Suite,Firefox 85.0,Public_User_Suite,,2021-02-15 21:14:37,2021-02-15 21:23:08,8m - 31.106s,ERROR
,,,,,,,
"Test Cases/UploadDiffFiles_PublicUser/TC_As a public user, Upload Adobe PhotoShop File",Firefox 85.0,,,2021-02-15 21:14:39,2021-02-15 21:14:52,13.157s,ERROR
"excelTestData = findTestData(""Data Files/TestData/InspectTestData"")",Firefox 85.0,,,2021-02-15 21:14:39,2021-02-15 21:14:40,0.559s,PASSED
"userEmail = excelTestData.getValue(2, 23)",Firefox 85.0,,,2021-02-15 21:14:40,2021-02-15 21:14:40,0.027s,PASSED
"customKeywords.commanFunctions.uploadFileOfPublicUser(346, userEmail)",Firefox 85.0,,,2021-02-15 21:14:40,2021-02-15 21:14:51,11.283s,ERROR
Start tear down : tearDownMethodIfError,Firefox 85.0,,,2021-02-15 21:14:51,2021-02-15 21:14:52,1.097s,PASSED
,,,,,,,
"Test Cases/UploadDiffFiles_PublicUser/TC_As a public user, Upload Basic Audio File",Firefox 85.0,,,2021-02-15 21:14:52,2021-02-15 21:15:15,22.780s,PASSED
"excelTestData = findTestData(""Data Files/TestData/InspectTestData"")",Firefox 85.0,,,2021-02-15 21:14:52,2021-02-15 21:14:52,0.040s,PASSED
"userEmail = excelTestData.getValue(2, 23)",Firefox 85.0,,,2021-02-15 21:14:52,2021-02-15 21:14:52,0.002s,PASSED
"customKeywords.commanFunctions.uploadFileOfPublicUser(228, userEmail)",Firefox 85.0,,,2021-02-15 21:14:52,2021-02-15 21:15:14,21.797s,PASSED
customKeywords.commanFunctions.onlyCloseBrowser(),Firefox 85.0,,,2021-02-15 21:15:14,2021-02-15 21:15:15,0.828s,PASSED
,,,,,,,
"Test Cases/UploadDiffFiles_PublicUser/TC_As a public user, Upload CSV File",Firefox 85.0,,,2021-02-15 21:15:15,2021-02-15 21:15:35,20.590s,PASSED
"excelTestData = findTestData(""Data Files/TestData/InspectTestData"")",Firefox 85.0,,,2021-02-15 21:15:15,2021-02-15 21:15:15,0.026s,PASSED
"userEmail = excelTestData.getValue(2, 23)",Firefox 85.0,,,2021-02-15 21:15:15,2021-02-15 21:15:15,0.001s,PASSED
"customKeywords.commanFunctions.uploadFileOfPublicUser(176, userEmail)",Firefox 85.0,,,2021-02-15 21:15:15,2021-02-15 21:15:35,19.678s,PASSED
customKeywords.commanFunctions.onlyCloseBrowser(),Firefox 85.0,,,2021-02-15 21:15:35,2021-02-15 21:15:35,0.805s,PASSED
,,,,,,,
"Test Cases/UploadDiffFiles_PublicUser/TC_As a public user, Upload Exe File",Firefox 85.0,,,2021-02-15 21:15:35,2021-02-15 21:16:01,25.183s,PASSED
"excelTestData = findTestData(""Data Files/TestData/InspectTestData"")",Firefox 85.0,,,2021-02-15 21:15:36,2021-02-15 21:15:36,0.023s,PASSED
"userEmail = excelTestData.getValue(2, 23)",Firefox 85.0,,,2021-02-15 21:15:36,2021-02-15 21:15:36,0.002s,PASSED
"customKeywords.commanFunctions.uploadFileOfPublicUser(172, userEmail)",Firefox 85.0,,,2021-02-15 21:15:36,2021-02-15 21:16:00,24.314s,PASSED
