Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Register_User_Suite,Firefox 85.0,Register_User_Suite,,2021-02-15 21:23:20,2021-02-15 21:40:29,17m - 8.795s,ERROR
,,,,,,,
"Test Cases/UploadDiffFiles_RegisterUser/TC_As a register user, Upload Adobe PhotoShop File and verify Uploded file in Submission Page",Firefox 85.0,,,2021-02-15 21:23:22,2021-02-15 21:23:45,22.819s,ERROR
"excelTestData = findTestData(""Data Files/TestData/InspectTestData"")",Firefox 85.0,,,2021-02-15 21:23:22,2021-02-15 21:23:22,0.549s,PASSED
"rigisterUN = excelTestData.getValue(6, 23)",Firefox 85.0,,,2021-02-15 21:23:22,2021-02-15 21:23:22,0.023s,PASSED
"rigisterPW = excelTestData.getValue(3, 23)",Firefox 85.0,,,2021-02-15 21:23:23,2021-02-15 21:23:23,0.000s,PASSED
"customKeywords.commanFunctions.uploadFileOfRegisterUser(309, rigisterUN, rigisterPW)",Firefox 85.0,,,2021-02-15 21:23:23,2021-02-15 21:23:44,21.024s,ERROR
Start tear down : tearDownMethodIfError,Firefox 85.0,,,2021-02-15 21:23:44,2021-02-15 21:23:45,1.056s,PASSED
,,,,,,,
"Test Cases/UploadDiffFiles_RegisterUser/TC_As a register user, Upload Basic Audio File and verify Uploded file in Submission Page",Firefox 85.0,,,2021-02-15 21:23:45,2021-02-15 21:24:24,39.463s,PASSED
"excelTestData = findTestData(""Data Files/TestData/InspectTestData"")",Firefox 85.0,,,2021-02-15 21:23:45,2021-02-15 21:23:45,0.033s,PASSED
"rigisterUN = excelTestData.getValue(2, 23)",Firefox 85.0,,,2021-02-15 21:23:45,2021-02-15 21:23:45,0.001s,PASSED
"rigisterPW = excelTestData.getValue(3, 23)",Firefox 85.0,,,2021-02-15 21:23:45,2021-02-15 21:23:45,0.000s,PASSED
"customKeywords.commanFunctions.uploadFileOfRegisterUser(264, rigisterUN, rigisterPW)",Firefox 85.0,,,2021-02-15 21:23:45,2021-02-15 21:24:21,36.080s,PASSED
customKeywords.commanFunctions.logOutAndcloseBrowser(),Firefox 85.0,,,2021-02-15 21:24:21,2021-02-15 21:24:24,3.266s,PASSED
,,,,,,,
"Test Cases/UploadDiffFiles_RegisterUser/TC_As a register user, Upload CSV File and verify Uploded file in Submission Page",Firefox 85.0,,,2021-02-15 21:24:24,2021-02-15 21:25:02,38.190s,PASSED
"excelTestData = findTestData(""Data Files/TestData/InspectTestData"")",Firefox 85.0,,,2021-02-15 21:24:24,2021-02-15 21:24:24,0.023s,PASSED
"rigisterUN = excelTestData.getValue(2, 23)",Firefox 85.0,,,2021-02-15 21:24:24,2021-02-15 21:24:24,0.001s,PASSED
"rigisterPW = excelTestData.getValue(3, 23)",Firefox 85.0,,,2021-02-15 21:24:24,2021-02-15 21:24:24,0.001s,PASSED
"customKeywords.commanFunctions.uploadFileOfRegisterUser(208, rigisterUN, rigisterPW)",Firefox 85.0,,,2021-02-15 21:24:24,2021-02-15 21:24:59,34.977s,PASSED
customKeywords.commanFunctions.logOutAndcloseBrowser(),Firefox 85.0,,,2021-02-15 21:24:59,2021-02-15 21:25:02,3.113s,PASSED
,,,,,,,
"Test Cases/UploadDiffFiles_RegisterUser/TC_As a register user, Upload Exe File and verify Uploded file in Submission Page",Firefox 85.0,,,2021-02-15 21:25:02,2021-02-15 21:25:43,40.395s,PASSED
"excelTestData = findTestData(""Data Files/TestData/InspectTestData"")",Firefox 85.0,,,2021-02-15 21:25:02,2021-02-15 21:25:02,0.024s,PASSED
"rigisterUN = excelTestData.getValue(6, 23)",Firefox 85.0,,,2021-02-15 21:25:02,2021-02-15 21:25:02,0.002s,PASSED
