Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Login_Suite,Firefox 85.0,Login_Suite,,2021-02-19 20:07:01,2021-02-19 20:09:59,2m - 57.469s,FAILED
,,,,,,,
"Test Cases/TC_Login_RegisterUserAndForgotYourPassword/BasicTCs/CSP-T74_1.0_As a User, I want to verify that system send me a forget my password link when I request",Firefox 85.0,,,2021-02-19 20:07:04,2021-02-19 20:07:24,20.301s,FAILED
"excelTestData = findTestData(""Data Files/TestData/InspectTestData"")",Firefox 85.0,,,2021-02-19 20:07:05,2021-02-19 20:07:06,1.346s,PASSED
"validationMessage = excelTestData.getValue(2, 8)",Firefox 85.0,,,2021-02-19 20:07:06,2021-02-19 20:07:06,0.082s,PASSED
"obj = findTestObject(""LoginAndRigisterUser/LoginLink"")",Firefox 85.0,,,2021-02-19 20:07:06,2021-02-19 20:07:06,0.099s,PASSED
"forgotPwd = findTestObject(""Object Repository/LoginAndRigisterUser/ForgotPwd"")",Firefox 85.0,,,2021-02-19 20:07:06,2021-02-19 20:07:06,0.097s,PASSED
"ForgotPwdSubmitBtn = findTestObject(""Object Repository/LoginAndRigisterUser/ForgotPwdSubmitBtn"")",Firefox 85.0,,,2021-02-19 20:07:06,2021-02-19 20:07:06,0.106s,PASSED
customKeywords.commanFunctions.openBrowser(),Firefox 85.0,,,2021-02-19 20:07:06,2021-02-19 20:07:23,16.982s,FAILED
Start tear down : tearDownMethodIfFailed,Firefox 85.0,,,2021-02-19 20:07:23,2021-02-19 20:07:24,1.044s,PASSED
,,,,,,,
"Test Cases/TC_Login_RegisterUserAndForgotYourPassword/BasicTCs/CSP-T75_1.0_As a User, I want to verify that System detects incorrect user email",Firefox 85.0,,,2021-02-19 20:07:24,2021-02-19 20:07:39,14.124s,FAILED
"excelTestData = findTestData(""Data Files/TestData/InspectTestData"")",Firefox 85.0,,,2021-02-19 20:07:25,2021-02-19 20:07:25,0.080s,PASSED
"validationMessage = excelTestData.getValue(2, 12)",Firefox 85.0,,,2021-02-19 20:07:25,2021-02-19 20:07:25,0.000s,PASSED
"obj = findTestObject(""LoginAndRigisterUser/LoginLink"")",Firefox 85.0,,,2021-02-19 20:07:25,2021-02-19 20:07:25,0.084s,PASSED
"forgotPwd = findTestObject(""Object Repository/LoginAndRigisterUser/ForgotPwd"")",Firefox 85.0,,,2021-02-19 20:07:25,2021-02-19 20:07:25,0.081s,PASSED
"ForgotPwdSubmitBtn = findTestObject(""Object Repository/LoginAndRigisterUser/ForgotPwdSubmitBtn"")",Firefox 85.0,,,2021-02-19 20:07:25,2021-02-19 20:07:25,0.071s,PASSED
customKeywords.commanFunctions.openBrowser(),Firefox 85.0,,,2021-02-19 20:07:25,2021-02-19 20:07:38,12.689s,FAILED
Start tear down : tearDownMethodIfFailed,Firefox 85.0,,,2021-02-19 20:07:38,2021-02-19 20:07:39,0.861s,PASSED
,,,,,,,
Test Cases/TC_Login_RegisterUserAndForgotYourPassword/BasicTCs/TC_LoginUserWithInValidCredentialsAndVerifyErrorMsg,Firefox 85.0,,,2021-02-19 20:07:39,2021-02-19 20:08:31,52.687s,FAILED
"excelTestData = findTestData(""Data Files/TestData/InspectTestData"")",Firefox 85.0,,,2021-02-19 20:07:39,2021-02-19 20:07:39,0.057s,PASSED
"validationMessage = excelTestData.getValue(2, 4)",Firefox 85.0,,,2021-02-19 20:07:39,2021-02-19 20:07:39,0.000s,PASSED
"obj = findTestObject(""LoginAndRigisterUser/LoginLink"")",Firefox 85.0,,,2021-02-19 20:07:39,2021-02-19 20:07:39,0.091s,PASSED
"LoginBtn = findTestObject(""Object Repository/LoginAndRigisterUser/LoginBtn"")",Firefox 85.0,,,2021-02-19 20:07:39,2021-02-19 20:07:39,0.068s,PASSED
customKeywords.commanFunctions.openBrowser(),Firefox 85.0,,,2021-02-19 20:07:39,2021-02-19 20:08:29,50.292s,FAILED
Start tear down : tearDownMethodIfFailed,Firefox 85.0,,,2021-02-19 20:08:29,2021-02-19 20:08:31,1.919s,PASSED
,,,,,,,
Test Cases/TC_Login_RegisterUserAndForgotYourPassword/BasicTCs/TC_LoginUserWithInValidPasswordAndVerifyLoginShouldNotSucss,Firefox 85.0,,,2021-02-19 20:08:31,2021-02-19 20:08:57,25.480s,FAILED
"excelTestData = findTestData(""Data Files/TestData/InspectTestData"")",Firefox 85.0,,,2021-02-19 20:08:31,2021-02-19 20:08:31,0.056s,PASSED
"validationMessage = excelTestData.getValue(2, 4)",Firefox 85.0,,,2021-02-19 20:08:31,2021-02-19 20:08:31,0.000s,PASSED
"obj = findTestObject(""LoginAndRigisterUser/LoginLink"")",Firefox 85.0,,,2021-02-19 20:08:31,2021-02-19 20:08:32,0.065s,PASSED
"LoginBtn = findTestObject(""Object Repository/LoginAndRigisterUser/LoginBtn"")",Firefox 85.0,,,2021-02-19 20:08:32,2021-02-19 20:08:32,0.056s,PASSED
customKeywords.commanFunctions.openBrowser(),Firefox 85.0,,,2021-02-19 20:08:32,2021-02-19 20:08:56,24.365s,FAILED
Start tear down : tearDownMethodIfFailed,Firefox 85.0,,,2021-02-19 20:08:56,2021-02-19 20:08:57,0.699s,PASSED
,,,,,,,
Test Cases/TC_Login_RegisterUserAndForgotYourPassword/BasicTCs/TC_LoginUserWithInValidUserNameAndVerifyLoginShouldNotSucss,Firefox 85.0,,,2021-02-19 20:08:57,2021-02-19 20:09:25,28.531s,FAILED
"excelTestData = findTestData(""Data Files/TestData/InspectTestData"")",Firefox 85.0,,,2021-02-19 20:08:57,2021-02-19 20:08:57,0.056s,PASSED
"validationMessage = excelTestData.getValue(2, 4)",Firefox 85.0,,,2021-02-19 20:08:57,2021-02-19 20:08:57,0.000s,PASSED
"obj = findTestObject(""LoginAndRigisterUser/LoginLink"")",Firefox 85.0,,,2021-02-19 20:08:57,2021-02-19 20:08:57,0.081s,PASSED
